"","ES_score","Gene"
"VCP",33.2060596904552,"VCP"
"TSC1",10.7584737863545,"TSC1"
"DDX21",39.2395840993473,"DDX21"
"PSMC3",19.0915835175016,"PSMC3"
"TAF1D",40.877098777796,"TAF1D"
"API5",13.5132052500618,"API5"
"CIAO2B",28.9810185441701,"CIAO2B"
"YWHAB",60.4740609988851,"YWHAB"
"KMT2D",15.904444714252,"KMT2D"
"POLR2G",24.1408267764187,"POLR2G"
"COPS6",22.9407809065946,"COPS6"
"IRF2",17.1388676149938,"IRF2"
"CDC40",13.0160360522069,"CDC40"
"SLC20A2",7.65890750560636,"SLC20A2"
"STAT3",29.3485735999101,"STAT3"
"HNRNPH1",73.2246682410856,"HNRNPH1"
"SIN3A",15.4727626723627,"SIN3A"
"MAP3K2",22.7772720850913,"MAP3K2"
"PDCD6IP",23.300178618254,"PDCD6IP"
"RALGAPB",10.0963895216059,"RALGAPB"
"LSM3",22.3424671644059,"LSM3"
"RPS9",72.7984439376811,"RPS9"
"ATF7IP",31.8112377651758,"ATF7IP"
"EXOSC10",18.5596114422263,"EXOSC10"
"JMJD1C",41.4629270609093,"JMJD1C"
"EIF1",80.0351744200279,"EIF1"
"DHX36",30.6820596318494,"DHX36"
"DDIT3",25.2388880877633,"DDIT3"
"POLR2L",44.9833496452123,"POLR2L"
"IMPDH2",20.0457313933869,"IMPDH2"
"METTL23",14.1736331550624,"METTL23"
"POLR2A",22.1322553330533,"POLR2A"
"COA4",14.6063419205785,"COA4"
"MRPL41",22.4768854584082,"MRPL41"
"NPLOC4",13.3864584637726,"NPLOC4"
"PTTG1IP",24.7016414851609,"PTTG1IP"
"PPP1CC",19.3562666217508,"PPP1CC"
"KRT10",16.321975989578,"KRT10"
"HMGB1",73.9906356392803,"HMGB1"
"MPHOSPH8",43.3581110167633,"MPHOSPH8"
"LCOR",18.9562381552675,"LCOR"
"PPIA",70.2233904850302,"PPIA"
"AMZ2",15.9052946860855,"AMZ2"
"WDR45",16.0193164535277,"WDR45"
"SVIL",13.955582980898,"SVIL"
"PELI1",28.1193919542483,"PELI1"
"NOL7",27.8515329928897,"NOL7"
"RPL41",80.1313911042866,"RPL41"
"TMA7",71.6545906960871,"TMA7"
"NBPF11",10.782403968237,"NBPF11"
"MSL3",18.7083722426289,"MSL3"
"PSMB1",45.4690134362672,"PSMB1"
"SEC62",53.8071026967648,"SEC62"
"RANBP9",13.8490877192658,"RANBP9"
"ELOVL5",29.7706020122196,"ELOVL5"
"YAF2",12.6825937757333,"YAF2"
"CCDC28A",13.7921439504738,"CCDC28A"
"RFC1",18.0097536517709,"RFC1"
"CUL1",14.3205701794532,"CUL1"
"KMT2C",33.9357958112839,"KMT2C"
"PUM2",20.2711073330203,"PUM2"
"ATG5",12.3025662895112,"ATG5"
"WNK1",39.7951118960124,"WNK1"
"VMP1",42.3803918428232,"VMP1"
"CYB5R4",10.1009653353761,"CYB5R4"
