"","ES_score"
"Myh9",69.7343488120222
"Myo18a",29.8196363418565
"Nab1",36.0639716367142
"Nae1",30.8743016915408
"Nampt",32.9882010912007
"Napa",63.6648195999872
"Nbn",26.3838519860569
"Ncdn",17.2468315369933
"Nck1",31.9581890292121
"Ncoa1",36.1431519603127
"Ncoa2",24.9832538724346
"Ncoa3",61.0841466207621
"Ncoa6",25.740918812252
"Ncor1",79.2190427799559
"Ncstn",52.5231516723821
"Ndel1",59.7798130945565
"Ndrg3",33.2186352496593
"Ndufa13",84.6819543709089
"Ndufa8",63.9270974268873
"Ndufs1",42.1305460530022
"Ndufs7",72.5210423073859
"Nemf",43.6426621866532
"Nf1",25.1082453864447
"Nf2",28.8013438718495
"Nfat5",35.4411967192949
"Nfatc3",28.4416943799664
"Nfe2l1",46.3539221508451
"Nfe2l2",64.5893509604666
"Nfkb1",37.5412681725047
"Nit1",22.4510534283641
"Nlk",11.1441809409688
"Nme1",64.3747254811219
"Nmt1",44.9737061701371
"Nol8",19.7382142920331
"Notch1",44.8242704648348
"Npc2",69.6474584367943
"Npepps",47.1799616876797
"Npm1",83.9714026162203
"Nr1h2",41.5240946861212
"Nr3c1",59.3104175733789
"Nras",65.9317877762418
"Nsf",27.317640057751
"Numb",19.7283310018197
"Nup214",26.4259935478204
"Nup50",30.4688282947869
"Nutf2",43.1262458866919
"Nxn",15.1115972494185
"Odc1",46.7716035416294
"Odf2",13.7387519888783
"Otub1",66.5516653444967
"Pabpn1",56.2950414008872
"Pafah1b1",64.9554081867762
"Pafah1b2",44.764975916784
"Pam16",38.14897343308
"Pank2",30.798391266139
"Parg",23.3488019055753
"Parp1",33.3449474689621
"Parp2",26.9453667637592
"Paxip1",20.0462044173745
"Pbrm1",65.0570282300719
"Pcmt1",53.0193558682749
"Pde12",25.2148527175862
"Pdia6",76.1718218782068
"Pdk1",19.8900865346206
"Pdpk1",32.3627509196458
"Pelp1",21.1425584451765
"Pes1",35.0189102602017
"Pex14",27.8041883603604
"Pex5",23.3395851290503
"Pex7",30.8916131969215
"Pfn1",91.2907446828732
"Pgs1",30.9552651024387
"Phb",53.9165527867798
"Phb2",61.2199213553862
"Phc2",39.7652163335359
"Phf6",23.3648167819716
"Pias1",47.6270141442038
"Pias4",23.3968043794861
"Pigu",25.3650942272416
"Pik3c2a",29.2362341324131
"Pik3ca",19.3290843645141
"Pin1",50.3894667500414
"Pip5k1c",25.6293191934609
"Pisd",32.9087419043623
"Pitpna",68.3453058704839
"Pitpnb",45.7721545820839
"Pknox1",18.9867029754382
"Plcb3",18.9804902801989
"Plcg1",22.561612643676
"Plod3",32.1520689243519
"Pmm2",29.849856871363
"Pnn",46.9451264677096
"Pnpla2",22.6571401366398
"Pofut2",38.1362623941648
"Polb",36.8118460888515
"Polg",20.3643787242584
"Polr2a",58.6169728512271
"Polr2h",27.4626310058961
"Pomgnt1",21.032947207432
"Por",52.5268942751495
